Gmina,Powiat,Województwo,Robert BIEDROŃ,Krzysztof BOSAK,Andrzej Sebastian DUDA,Szymon Franciszek HOŁOWNIA,Marek JAKUBIAK,Władysław Marcin KOSINIAK-KAMYSZ,Mirosław Mariusz PIOTROWSKI,Paweł Jan TANAJNO,Rafał Kazimierz TRZASKOWSKI,Waldemar Włodzimierz WITKOWSKI,Stanisław Józef ŻÓŁTEK
m. Bolesławiec,bolesławiecki,dolnośląskie,450,1131,6465,2899,32,255,13,19,7183,24,43
gm. Bolesławiec,bolesławiecki,dolnośląskie,132,506,2889,1217,7,118,8,5,2016,8,20
gm. Gromadka,bolesławiecki,dolnośląskie,45,159,1365,261,3,54,0,4,561,3,6
gm. Nowogrodziec,bolesławiecki,dolnośląskie,72,468,3254,1313,8,102,5,10,1204,6,13
gm. Osiecznica,bolesławiecki,dolnośląskie,79,271,1237,476,1,46,2,3,823,9,6
gm. Warta Bolesławiecka,bolesławiecki,dolnośląskie,74,224,1843,560,1,58,1,9,945,2,9
m. Bielawa,dzierżoniowski,dolnośląskie,308,799,5518,2097,12,168,20,19,4386,12,30
m. Dzierżoniów,dzierżoniowski,dolnośląskie,360,938,6236,2015,23,232,11,31,5939,19,23
m. Pieszyce,dzierżoniowski,dolnośląskie,96,256,1924,443,7,56,6,10,1238,3,13
m. Piława Górna,dzierżoniowski,dolnośląskie,53,225,1323,402,4,36,3,7,659,1,9
gm. Dzierżoniów,dzierżoniowski,dolnośląskie,84,256,2333,620,6,90,2,5,1094,6,4
gm. Łagiewniki,dzierżoniowski,dolnośląskie,49,205,1908,467,1,68,2,5,795,1,8
gm. Niemcza,dzierżoniowski,dolnośląskie,52,145,1161,292,2,37,2,5,659,4,2
m. Głogów,głogowski,dolnośląskie,750,1861,13316,4485,34,523,32,44,10345,32,68
gm. Głogów,głogowski,dolnośląskie,51,211,1672,483,4,57,8,2,955,4,3
gm. Jerzmanowa,głogowski,dolnośląskie,62,174,1171,441,1,66,3,5,784,3,6
gm. Kotla,głogowski,dolnośląskie,41,108,1024,226,2,27,1,1,470,0,2
gm. Pęcław,głogowski,dolnośląskie,37,46,617,89,1,26,0,2,134,0,1
gm. Żukowice,głogowski,dolnośląskie,39,99,768,245,0,37,0,3,312,3,2
gm. Góra,górowski,dolnośląskie,186,468,3772,1208,8,212,6,9,2418,8,12
gm. Jemielno,górowski,dolnośląskie,17,103,747,101,2,38,1,0,233,0,0
gm. Niechlów,górowski,dolnośląskie,43,134,1229,224,6,61,2,2,325,2,4
gm. Wąsosz,górowski,dolnośląskie,46,201,1559,385,5,67,3,3,746,0,6
m. Jawor,jaworski,dolnośląskie,245,720,4937,1218,12,229,16,7,3424,8,24
gm. Bolków,jaworski,dolnośląskie,117,265,2115,508,7,122,2,6,1327,1,7
gm. Męcinka,jaworski,dolnośląskie,35,154,1340,256,0,75,3,2,512,1,3
gm. Mściwojów,jaworski,dolnośląskie,28,131,889,246,3,67,1,2,475,0,1
gm. Paszowice,jaworski,dolnośląskie,27,127,924,177,2,89,4,2,490,0,8
gm. Wądroże Wielkie,jaworski,dolnośląskie,27,131,934,202,4,135,1,3,480,5,1
m. Karpacz,jeleniogórski,dolnośląskie,85,132,701,523,9,57,1,4,1543,7,7
m. Kowary,jeleniogórski,dolnośląskie,90,212,1525,775,5,72,3,8,1922,13,12
m. Piechowice,jeleniogórski,dolnośląskie,65,163,959,494,7,44,4,4,1285,4,4
m. Szklarska Poręba,jeleniogórski,dolnośląskie,94,182,1086,642,4,69,3,9,1606,4,8
gm. Janowice Wielkie,jeleniogórski,dolnośląskie,49,110,688,356,5,49,3,3,813,2,3
gm. Jeżów Sudecki,jeleniogórski,dolnośląskie,70,178,1126,588,3,55,2,0,1689,1,4
gm. Mysłakowice,jeleniogórski,dolnośląskie,87,240,1677,749,7,87,4,6,1900,7,5
gm. Podgórzyn,jeleniogórski,dolnośląskie,103,233,1263,672,8,84,4,6,1741,5,9
gm. Stara Kamienica,jeleniogórski,dolnośląskie,70,114,873,378,2,53,3,6,832,5,5
m. Kamienna Góra,kamiennogórski,dolnośląskie,190,440,3492,1121,5,122,3,19,3212,10,18
gm. Kamienna Góra,kamiennogórski,dolnośląskie,78,262,1834,641,7,83,8,3,1309,6,11
gm. Lubawka,kamiennogórski,dolnośląskie,111,272,2053,707,6,101,7,8,1846,4,10
gm. Marciszów,kamiennogórski,dolnośląskie,39,122,899,286,1,43,1,1,610,0,5
m. Duszniki-Zdrój,kłodzki,dolnośląskie,59,163,838,360,3,28,2,6,910,3,6
m. Kłodzko,kłodzki,dolnośląskie,287,697,4773,1646,17,265,13,14,4848,16,34
m. Kudowa-Zdrój,kłodzki,dolnośląskie,117,301,2023,723,5,98,9,9,2021,8,5
m. Nowa Ruda,kłodzki,dolnośląskie,211,568,3583,1252,8,147,9,10,3670,11,15
m. Polanica-Zdrój,kłodzki,dolnośląskie,65,194,1320,443,3,46,3,7,1446,6,4
gm. Bystrzyca Kłodzka,kłodzki,dolnośląskie,165,458,4001,1215,7,202,12,19,2721,10,16
gm. Kłodzko,kłodzki,dolnośląskie,121,428,3790,996,10,290,8,11,1922,6,14
gm. Lądek-Zdrój,kłodzki,dolnośląskie,83,237,1701,530,10,90,4,9,1331,4,8
gm. Lewin Kłodzki,kłodzki,dolnośląskie,23,49,380,146,1,15,0,2,316,0,1
gm. Międzylesie,kłodzki,dolnośląskie,75,185,1415,490,3,63,1,2,1094,2,8
gm. Nowa Ruda,kłodzki,dolnośląskie,112,254,2145,852,5,104,4,11,1576,5,13
gm. Radków,kłodzki,dolnośląskie,84,276,1810,614,11,90,2,8,1094,5,10
gm. Stronie Śląskie,kłodzki,dolnośląskie,74,172,1225,499,7,81,2,5,1260,5,10
gm. Szczytna,kłodzki,dolnośląskie,72,258,1297,472,5,55,2,7,1163,5,4
m. Chojnów,legnicki,dolnośląskie,110,446,2645,719,7,96,5,8,1941,6,10
gm. Chojnów,legnicki,dolnośląskie,77,281,2443,458,6,114,6,7,963,2,6
gm. Krotoszyce,legnicki,dolnośląskie,31,140,877,164,1,26,1,0,360,1,1
