Gmina,Powiat,Województwo,Andrzej Sebastian DUDA,Rafał Kazimierz TRZASKOWSKI
m. Bolesławiec,bolesławiecki,dolnośląskie,7915,11069
gm. Bolesławiec,bolesławiecki,dolnośląskie,3607,3533
gm. Gromadka,bolesławiecki,dolnośląskie,1617,955
gm. Nowogrodziec,bolesławiecki,dolnośląskie,4013,2575
gm. Osiecznica,bolesławiecki,dolnośląskie,1576,1504
gm. Warta Bolesławiecka,bolesławiecki,dolnośląskie,2238,1645
m. Bielawa,dzierżoniowski,dolnośląskie,6559,7348
m. Dzierżoniów,dzierżoniowski,dolnośląskie,7396,8931
m. Pieszyce,dzierżoniowski,dolnośląskie,2295,1971
m. Piława Górna,dzierżoniowski,dolnośląskie,1645,1213
gm. Dzierżoniów,dzierżoniowski,dolnośląskie,2763,1962
gm. Łagiewniki,dzierżoniowski,dolnośląskie,2318,1410
gm. Niemcza,dzierżoniowski,dolnośląskie,1407,1124
m. Głogów,głogowski,dolnośląskie,16112,16447
gm. Głogów,głogowski,dolnośląskie,2025,1588
gm. Jerzmanowa,głogowski,dolnośląskie,1459,1372
gm. Kotla,głogowski,dolnośląskie,1271,771
gm. Pęcław,głogowski,dolnośląskie,747,255
gm. Żukowice,głogowski,dolnośląskie,1108,724
gm. Góra,górowski,dolnośląskie,4517,4228
gm. Jemielno,górowski,dolnośląskie,928,432
gm. Niechlów,górowski,dolnośląskie,1594,684
gm. Wąsosz,górowski,dolnośląskie,1918,1414
m. Jawor,jaworski,dolnośląskie,5859,5445
gm. Bolków,jaworski,dolnośląskie,2492,2234
gm. Męcinka,jaworski,dolnośląskie,1612,925
gm. Mściwojów,jaworski,dolnośląskie,1096,848
gm. Paszowice,jaworski,dolnośląskie,1123,825
gm. Wądroże Wielkie,jaworski,dolnośląskie,1176,902
m. Karpacz,jeleniogórski,dolnośląskie,1294,3334
m. Kowary,jeleniogórski,dolnośląskie,1928,3072
m. Piechowice,jeleniogórski,dolnośląskie,1195,2062
m. Szklarska Poręba,jeleniogórski,dolnośląskie,1716,3385
gm. Janowice Wielkie,jeleniogórski,dolnośląskie,932,1355
gm. Jeżów Sudecki,jeleniogórski,dolnośląskie,1341,2489
gm. Mysłakowice,jeleniogórski,dolnośląskie,2072,3070
gm. Podgórzyn,jeleniogórski,dolnośląskie,1639,2958
gm. Stara Kamienica,jeleniogórski,dolnośląskie,1014,1500
m. Kamienna Góra,kamiennogórski,dolnośląskie,4189,4800
gm. Kamienna Góra,kamiennogórski,dolnośląskie,2221,2160
gm. Lubawka,kamiennogórski,dolnośląskie,2412,2962
gm. Marciszów,kamiennogórski,dolnośląskie,1098,1024
m. Duszniki-Zdrój,kłodzki,dolnośląskie,1142,1668
m. Kłodzko,kłodzki,dolnośląskie,5726,7602
m. Kudowa-Zdrój,kłodzki,dolnośląskie,2674,3489
m. Nowa Ruda,kłodzki,dolnośląskie,4254,5734
m. Polanica-Zdrój,kłodzki,dolnośląskie,1713,2481
gm. Bystrzyca Kłodzka,kłodzki,dolnośląskie,4867,4592
gm. Kłodzko,kłodzki,dolnośląskie,4472,3476
gm. Lądek-Zdrój,kłodzki,dolnośląskie,2070,2341
gm. Lewin Kłodzki,kłodzki,dolnośląskie,469,557
gm. Międzylesie,kłodzki,dolnośląskie,1742,1827
gm. Nowa Ruda,kłodzki,dolnośląskie,2632,2846
gm. Radków,kłodzki,dolnośląskie,2242,2164
